basalt	joint	1	g is for the giant s causeway giant s causeway northern ireland s most spectacular tourist attraction is a prime example of columnar jointing of a basalt lava flow	basalte	commun	1	elle est dure , a une température de 0 à 1 500 °c et se compose essentiellement d une roche volcanique très commune : le basalte
cone	littoral	1	pu u o mahana is the site of hawaii s famous green sand beach, composed of the shiny green mineral olivine a magnesium-iron-silicate eroded from the littoral cone and concentrated by wave action	cône	littoral	1	en ces lieux se produisit indubitablement une éruption dont les coulées se jetèrent dans la mer; et le contact entre l eau et la roche en fusion , très explosif , donna naissance aux deux cônes littoraux
cone	littoral	2	the littoral cones that develop from these explosive ejections are typically open on the seaward side	cône	littoral		
cone	littoral	3	the resulting steam explosions generated spatter , limu o pele , and pele s hair that accumulated on the sea cliff to make a littoral cone	cône	littoral		
cone	littoral	4	lava from the tube added new land , extending the coastline and isolating the littoral cone	cône	littoral		
cone	littoral	5	this photo shows a littoral cone that formed in october 1988	cône	littoral		
cone	littoral	6	right abov : pu u o mahana , a prehistoric littoral cone of mauna loa , is the site of the big island s green-sand beach	cône	littoral		
cone	littoral	7	littoral cones	cône	littoral		
cone	littoral	8	littoral cones can develop at the water s edge from the accumulation of these airborne fragments	cône	littoral		
cone	littoral	9	littoral cone	cône	littoral		
cone	littoral	10	basalt exiting from lava tubes can also generate littoral cones from episodic explosions due to disruption of the lava stream by incoming waves or swells	cône	littoral		
cone	littoral	11	larger deposits , however , are more permanent and form littoral cones , such as the 100-foot-high pu u o mahana , near the south tip of the big island , formed during a prehistoric mauna loa eruption	cône	littoral		
cone	littoral	12	the interaction of lava and water generated an acidic steam plume , black sand , and , with the proper conditions , littoral cones	cône	littoral		
cone	littoral	13	the exposed hot rocks and lava from the tube generated steam explosions that threw material back on the bench to produce a littoral cone	cône	littoral		
cone	littoral	14	a littoral cone is a cone formed on a lava flow when it runs into a body of water , usually the sea	cône	littoral		
cone	littoral	15	although littoral cones have a hydrovolcanic orgin , they are not true hydrovolcanic vents	cône	littoral		
cone	composite	1	large composite cones may generate a type of mudflow known as a lahar	cône	composite	1	elles ont contribué à édifier le cône , composite , formé à la fois de laves et de projections
cone	composite	2	nu\e9e ardente and lahar are phenomena associated wit : composite cones 10	cône	composite		
cone	composite	3	stratovolcanoes , also known as composite cones , are the most picturesque and the most deadly of the volcano types	cône	composite		
cone	composite	4	composite cones represent the most violent type of volcanic activity	cône	composite		
cone	composite	5	large composite cones often generate a mudflow called by its indonesian name lahar	cône	composite		
cone	composite	6	composite cones are produced when relatively viscous lavas of andesitic composition are extruded	cône	composite		
cone	composite	7	a large composite cone , washington state s mt	cône	composite		
cone	composite	8	most active composite cones are in a narrow zone that encircles the pacific ocean , appropriately named the ring of fire	cône	composite		
cone	composite	9	alternating layers of ash and lava build up a steep cone , known as a stratovolcano or composite cone	cône	composite		
cone	composite	10	a composite cone may extrude viscous lava for long periods	cône	composite		
cone	composite	11	just as shield volcanoes owe their shape to the highly fluid nature of the extruded lavas , so too do composite cones reflect the nature of the erupted material	cône	composite		
cone	composite	12	73 composite cone stratovolcano p	cône	composite		
cone	composite	13	earth s most picturesque volcanoes are composite cones	cône	composite		
cone	composite	14	composite cones , or stratovolcanoes , are large , nearly symmetrical structures built of interbedded lavas and pyroclastic deposits	cône	composite		
cone	composite	15	photo by tad nichols figure 4.13 mount shasta , california , one of the largest composite cones in the cascade range	cône	composite		
cone	composite	16	a composite cone or stratovolcano is a large , nearly symmetrical structure composed of alternating lava flows and pyroclastic deposits , emitted mainly from a central vent	cône	composite		
cone	composite	17	terns and characteristic form : shield volcanoes , cinder cones , and composite cones	cône	composite		
cone	composite	18	composite cones represent the most violent volcanic activity	cône	composite		
cone	composite	19	courtesy of p vauthey/sygma figure 4.27 locations of several of the larger composite cones that comprise the cascade range	cône	composite		
cone	symmetrical	1	helens a composite volcano or stratovolcano , a term for steepsided , often symmetrical cones constructed of alternating layers of lava flows , ash , and other volcanic debris	cône	symétrique	1	son cône symétrique se trouve dans un massif volcanique situé à l intérieur de la caldera du karymsky , effondrée il y a 77 000 ans
cone	symmetrical	2	they are typically steep-sided , symmetrical cones of large dimension built of alternating layers of lava flows , volcanic ash , cinders , blocks , and bombs and may rise as much as 8,000 feet above their bases	cône	symétrique		
cone	symmetrical	3	one of the most active volcanoes in cook inlet is augustine , whose symmetrical cone rises 1,254 meters above the sea	cône	symétrique		
crater	obstruct	1	the 1994 reawakening , the scientists say , was triggered by a new injection of molten rock into the magma chamber , and the current intensification of activity is due to the formation of a lava dome inside the crater which is obstructing the regular release of energy	cratère	engorger	1	un dôme de lave pâteuse et noire , qui croît quotidiennement , engorge le cratère du merapi
debris	coarse	1	coarse debris in the same eruptive plume rains into the sea and settles on the flanks of the cone	débris	gros	1	transportés en altitude par la convection des gaz chauds , les plus gros débris retombent à proximité - à quelques kilomètres autour de l évent - alors que les plus petits continuent de s élever dans l atmosphère et sont charriés par le vent
eruption	cataclysmic	1	wings over kamchatka gave carsten peter a new perspective on uzon caldera below , a 40-square-mile depression left behind by a cataclysmic eruption 40,000 years ago	éruption	cataclysmique	1	les volcanologues qui surveillent jour et nuit le pinatubo pensent que le risque de nouvelles éruptions cataclysmiques a diminué
eruption	cataclysmic	2	it was followed by warnings that the island could be threatened by a cataclysmic eruption	éruption	cataclysmique	2	entre 1980 et 1985 , il y a eu plus d éruptions cataclysmiques que d habitude , mais c est probablement une coïncidence
eruption	cataclysmic	3	i think the same thing is set to happen again. it is unlikely that etna will produce a cataclysmic eruption like those that have typified its northerly counterpart , vesuvius	éruption	cataclysmique	3	21 ans après l éruption cataclysmique du mont saint helens , des milliers de troncs d arbres flottent toujours à la surface du lac spirit
eruption	cataclysmic	4	the minister s aides said yesterday that he had read from a draft report stating that a cataclysmic eruption could not be ruled out	éruption	cataclysmique	4	des centaines d éruptions cataclysmiques , dont chacune avait la puissance d une dizaine de bombes atomiques , se succédèrent , malaxant , pétrissant , fracturant le paysage que les glaciers se chargèrent ensuite de façonner
eruption	cataclysmic	5	the cataclysmic eruption and related events on may 18 rank among the most significant geologic events in the united states during the 20th century	éruption	cataclysmique	5	a 110 kilomètres au nord de la crète , en mer egée , les îles de l archipel de santorin sont les restes d un énorme ensemble volcanique effondré au cours d une éruption cataclysmique en 1500 avant jésus-christ voir geo n°100
eruption	cataclysmic	6	modern skills in predicting eruptions go back to the aftermath of the cataclysmic eruption of mount st helens in washington state in 1980	éruption	cataclysmique		
eruption	cataclysmic	7	cataclysmic eruptions 2.0 , 1.3 , and 0.6 million years ago ejected huge volumes of rhyolite magma; each eruption formed a caldera and extensive layers of thick pyroclastic-flow deposits	éruption	cataclysmique		
eruption	cataclysmic	8	last month mr foulkes , reading from the wrong report by the montserrat volcano observatory , had predicted a cataclysmic eruption , sparking evacuation panic among islanders	éruption	cataclysmique		
eruption	cataclysmic	9	[graphic omitted]* long valley , californi : a 10-by-20-mile caldera formed here during a cataclysmic eruption 760,000 years ago	éruption	cataclysmique		
eruption	cataclysmic	10	up to now , on stromboli , development has been checked by the unpredictability of the volcano , whose cataclysmic eruption in 1930 killed six people and drove away nearly all of the island s 8,000 residents	éruption	cataclysmique		
eruption	cataclysmic	11	the cataclysmic eruption and events related to it caused the worst volcanic disaster in the history of the united states	éruption	cataclysmique		
eruption	cataclysmic	12	last night george foulkes , minister for international development , was involved in a clash with one of the chief volcano experts in montserrat after he was accused by the island s scientists of making misleading statements about the possibility of an imminent cataclysmic eruption	éruption	cataclysmique		
fountain	squirt	1	we started with herculanaeum , which the children enjoyed , cavorting around the gardens and squirting fountain water	fontaine	jaillir	1	si la lave est très fluide , elle jaillit en fontaines , s étale en grandes coulées , ou bouillonne dans un lac de lave l éruption est dite hawaiienne , en l honneur des volcans à pentes très douces des îles hawaii qui connaissent souvent ce type d activité
fountain	squirt			fontaine	jaillir	2	quand la lave fluide jaillit en fontaines et s étale en larges coulées , c est le type hawaiien non figuré ici
fountain	squirt			fontaine	jaillir	3	elles jaillissent en fontaines de lave qui atteignent parfois plusieurs centaines de mètres de hauteur , puis se répandent sur de vastes surfaces sous forme de coulées
fountain	squirt			fontaine	jaillir	4	mais avant de jaillir en fontaine de lave , cette pâte pétrie , selon le mot grec qui la désigne , a effectué un long périple
fountain	spout	1	it was continuously in motion , rising and falling sometimes several hundred feet a day , with molten material surging against the crater walls , fountains spouting 30 feet high , and sulfurous fumes shrouding the crater	fontaine	jaillir	1	si la lave est très fluide , elle jaillit en fontaines , s étale en grandes coulées , ou bouillonne dans un lac de lave l éruption est dite hawaiienne , en l honneur des volcans à pentes très douces des îles hawaii qui connaissent souvent ce type d activité
fountain	spout	2	hawaiian eruptions typically start with lava fountains spouting from a series of nearly continuous fissures , curtains of fire. as most eruptions progress , lava-fountain activity becomes localized at a single vent an opening from which lava issues , generally within hours of the initial outbreak	fontaine	jaillir	2	quand la lave fluide jaillit en fontaines et s étale en larges coulées , c est le type hawaiien non figuré ici
fountain	spout			fontaine	jaillir	3	elles jaillissent en fontaines de lave qui atteignent parfois plusieurs centaines de mètres de hauteur , puis se répandent sur de vastes surfaces sous forme de coulées
fountain	spout			fontaine	jaillir	4	mais avant de jaillir en fontaine de lave , cette pâte pétrie , selon le mot grec qui la désigne , a effectué un long périple
fountain	spurt	1	to : a 40-foot arching hose fountain spurts from pu u o o vent in 1983	fontaine	jaillir	1	si la lave est très fluide , elle jaillit en fontaines , s étale en grandes coulées , ou bouillonne dans un lac de lave l éruption est dite hawaiienne , en l honneur des volcans à pentes très douces des îles hawaii qui connaissent souvent ce type d activité
fountain	spurt	2	clouds of ash the volcano , europe s highest at 10,900 feet , pumped out huge dark clouds of ash and spurted fountains of magma 300 to 600 feet into the air	fontaine	jaillir	2	quand la lave fluide jaillit en fontaines et s étale en larges coulées , c est le type hawaiien non figuré ici
fountain	spurt	3	these tend to be cracks in the ground , rather than the familiar conical mountains , through which ``fire fountains spurt	fontaine	jaillir	3	elles jaillissent en fontaines de lave qui atteignent parfois plusieurs centaines de mètres de hauteur , puis se répandent sur de vastes surfaces sous forme de coulées
fountain	spurt			fontaine	jaillir	4	mais avant de jaillir en fontaine de lave , cette pâte pétrie , selon le mot grec qui la désigne , a effectué un long périple
fountain	belch	1	the mountain also was belching a fountain of ash and sand that made for poor visibility miles away	fontaine	cracher	1	tout en crachant des fontaines de magma , la coulée avance inexorablement , coupant sur son passage des cônes plus anciens : le volcan toujours recommencé détruit ses propres oeuvres
fountain	light	1	a scientist who saw it blow wrot : brilliant lava fountains lit the nighttime sky as fissures opened across the floor of the caldera. * augustine volcano , alask : erupted in 1986 , disrupting air traffic and depositing ash in anchorage	fontaine	petit	1	il émet de petites fontaines intermittentes de lave , à plusieurs mètres de hauteur
fountain	light	2	brilliant lava fountains lit the night-time sky as fissures opened across the floor of the caldera	fontaine	petit		
fountain	dramatic	1	the 2000popocatepetl eruption may have been huge , but the dramatic fire fountains that rained on the volcano s upper slopes posed relatively little danger to villages far below	fontaine	spectaculaire	1	ce dégazage s exprime sous la forme de spectaculaires fontaines de laves
fountain	dramatic			fontaine	spectaculaire	2	entre spectaculaires fontaines hawaïennes et explosions stromboliennes , précise le volcanologue jean-louis cheminée , de l institut de physique du globe de paris
fountain	dramatic			fontaine	spectaculaire	3	avec à la clé de spectaculaires fontaines de feu , suivies d abondantes coulées de laves
fountain	shoot	1	as the lava reaches the surface , a fall in pressure allows the gases it holds to boil suddenly , shooting fountains of lava into the air	fontaine	atteindre	1	a hawaii par exemple , les fontaines atteignent souvent 300 mètres , la hauteur de la tour eiffel
fountain	shoot	2	fire fountains shoot into the sky	fontaine	atteindre		
fountain	shoot	3	during the 1959 kilauea iki eruption , lava fountains shot 1,900 feet , the record height for historic hawaiian eruptions and likely the highest lava fountain yet observed on earth	fontaine	atteindre		
fountain	shoot	1	as the lava reaches the surface , a fall in pressure allows the gases it holds to boil suddenly , shooting fountains of lava into the air	fontaine	donner	1	une lave pauvre en silice moins de 54 % sera une lave fluide et chaude , donnant des fontaines et des coulées importantes , les éruptions seront effusives , ne présentant que très peu de risques
fountain	shoot	2	fire fountains shoot into the sky	fontaine	donner		
fountain	shoot	3	during the 1959 kilauea iki eruption , lava fountains shot 1,900 feet , the record height for historic hawaiian eruptions and likely the highest lava fountain yet observed on earth	fontaine	donner		
fountain	issue	1	lava falling from fountains and issuing quietly from vents often forms incandescent lava streams or lava flows , leading to the colorful term rivers of fire, often used in popular accounts of hawaiian eruptions	fontaine	donner	1	une lave pauvre en silice moins de 54 % sera une lave fluide et chaude , donnant des fontaines et des coulées importantes , les éruptions seront effusives , ne présentant que très peu de risques
fountain	common	1	less common are fountains that reach over 1,000 feet 300 m in height	fontaine	courant	1	luc girard avant que les villages possèdent l eau courante , la fontaine ici , celle de bredons , dans le cantal était le point de ralliement
gas	poisonous	1	26 september 1995 , p.1 volcano emergency alert / home news mount ruapehu , new zealand michael munro boulders , mud , ash and poisonous gases are hurled thousands of feet in the air as an eruption of mount ruapehu in new zealand s north island gained in intensity yesterday	gaz	toxique	1	une éruption moyenne dégage moins de gaz toxiques qu une centrale électrique brûlant du charbon
gas	poisonous	2	but a cameroonian geology professor , isaac konfor njilah , said several thousand villagers faced danger from burning magma and poisonous gases	gaz	toxique	2	en 1984 , un jaillissement de gaz toxique près d un autre volcan , à quelque 200 km du mont cameroun , avait tué 37 paysans , retrouvés asphyxiés exactement comme les morts du lac nios
gas	poisonous	3	for example , lava tubes on active and dormant volcanoes may be dangerous to walk in because they can trap poisonous gases	gaz	toxique	3	l accès au cratère de la fossa est interdit car les nappes toxiques de gaz carbonique , plus lourdes que l air , peuvent stagner au fond
gas	poisonous	4	by saturday night , nearly 48,000 people had taken shelter in schools , tents and other government buildings around the cone-shaped mountain , even though only 32,000 had been asked to move because of threats of lava flows , rocks and poisonous gases	gaz	toxique	4	les gaz toxiques , la température insupportable , la pluie de cendres incandescentes et de sables ont fait de nombreuses victimes 3
gas	poisonous			gaz	toxique	5	tout le monde est d accord pour penser que le gaz toxique est venu du fond du lac
gas	poisonous			gaz	toxique	6	certains sont toxiques gaz carbonique , dioxyde de soufre , etc.
gas	poisonous			gaz	toxique	7	en 1986 , l éruption du lac volcanique de nyos au cameroun libéra une nuée de gaz toxiques et provoqua la mort de 1 700 personnes
gas	poisonous			gaz	toxique	8	l autre explication , proposée par un ingénieur du cnrs , brille surtout pas son ingéniosité et par les perspectives optimistes qu elle ouvrirait quant à la possibilité de prévoir à temps une nouvelle exhalaison de gaz toxiques
gas	poisonous			gaz	toxique	9	malgré le danger , les gaz toxiques , la pénibilité de sa tâche , il préfère la montagne , les bivouacs sous sa hutte de chaume où , pour lutter contre le froid , il doit dormir serré entre ses deux apprentis , dans la fumée âcre du foyer , qui chasse les insectes mais n effarouche pas les rats
gas	poisonous			gaz	toxique	10	celui du second plan , vert , est acide et bouillonne en son centre ; la végétation a été détruite tout autour par les gaz toxiques
gas	poisonous			gaz	toxique	11	à quero et macha , les habitants se protègent des cendres et des gaz toxiques à l aide de masques , de foulards ou de mouchoirs
gas	poisonous			gaz	toxique	12	selon l une , une fraction au moins des gaz toxiques ne serait pas d origine volcanique
gas	poisonous			gaz	toxique	13	aucune substance alimentaire ne préserve des effets foudroyants d un passage de gaz toxique
gas	poisonous			gaz	toxique	14	en cas de reprise d activité , les microséismes engendrés par la montée du magma , peuvent fissurer les parois du lac et l amener à se vidanger ou libérer de grandes nappes meurtrières de gaz toxiques
gas	poisonous			gaz	toxique	15	avant le jaillissement du fond du cratère du gaz toxique , cette boue s accumulait au fond du lac
gas	poisonous			gaz	toxique	16	a la différence des lacs acides , au fond desquels des fumerolles libèrent toutes sortes de gaz toxiques , aucune source ne vient polluer ses eaux claires
gas	poisonous			gaz	toxique	17	un quart de la population et trois quarts du bétail islandais ont succombé sous les torrents de lave 565 kilomètres carrés , les nuées ardentes , les pluies de cendres 8000 kilomètres carrés et les gaz toxiques
gas	poisonous			gaz	toxique	18	tout autour , il ne reste que le spectre de la forêt vierge , empoisonnée par les gaz toxiques
gas	poisonous			gaz	toxique	19	bravant fumerolles et gaz toxiques , des mineurs y ramassent le précieux pactole au péril de leur vie
gas	poisonous			gaz	toxique	20	les gaz les gaz sont omniprésents lors de toutes les phases d activité volcaniqu : en majorité de la vapeur d eau peu dangereuse mais aussi des gaz toxiques tels le dioxyde de soufre , l hydrogène sulfuré ou encore le gaz carbonique
gas	poisonous			gaz	toxique	21	or il se trouve que pour les spécialistes , apparition d une nappe de gaz toxique dans une région volcanique n a rien d insolite ni d énigmatique
gas	poisonous			gaz	toxique	22	nous trouvons un emplacement judicieux pour nos deux petites tentes , sur une plateforme située à mi-hauteur de la paroi du cratère , où nous serons à la fois protégés du vent et au-dessus d éventuels nuages de gaz toxiques
gas	poisonous			gaz	toxique	23	certains volcans de cet alignements présentent des risques importants car leur lac de cratère a libéré des gaz toxiques : 37 morts au lac monoun en 1984 et 1 746 morts au lac nyos en 1986
gas	dissolve	1	it all hinges on the large amounts of water vapour and other gases dissolved in the liquid magma	gaz	dissoudre	1	bien des paramètres , dont la température et la richesse en gaz dissous , conditionnent la viscosité d un magma
gas	dissolve	2	experiments have shown that the amount of a dissolved gas in magma its solubility at atmospheric pressure is zero , but rises with increasing pressure	gaz	dissoudre	2	la présence de gaz dissous favorise la fluidité et diminue la température de solidification de la lave ; leur évacuation dans l atmosphère provoque la consolidation rapide : une lave basaltique riche en gaz continue à couler à des températures de l ordre de 800 °c
gas	dissolve	3	gases that were dissolved in the molten rock when it was deeper in the earth escape through open vents around the summit	gaz	dissoudre	3	la chambre magmatique est comme une bouteille de champagne : elle contient un liquide sous pression , composé d un bain de silicates fondus et de gaz dissous
gas	dissolve	4	griggs and his team found that the fumaroles were also emitting gases that had been dissolved in the molten rock before it erupted	gaz	dissoudre	4	la teneur en gaz dissous augmente , classiquement , avec la profondeur donc avec la pression
gas	dissolve	5	gas that had been dissolved in the molten rock expanded and literally blew the volcano apart , filling the air with ash	gaz	dissoudre	5	or , une mission scientifique récente révèle que la limite des taux de saturation en gaz dissous est presque atteinte dans les lacs nyos et mounoun un autre lac volcanique de cette région , indique l agence france-presse , sur la foi d un rapport parvenu de son bureau de yaoundé
gas	dissolve	6	lane uses pine sap together with acetone or ether to represent magma and the gas dissolved in it	gaz	dissoudre	6	magma , liquide silicaté avec de nombreux éléments chimiques mais où la silice est la plus représentative contenant des gaz dissous et des cristaux en suspension , formé en profondeur par une fusion partielle du manteau et parfois de la croûte
gas	dissolve	7	the sudden removal of the upper part of the volcano by the landslides triggered the almost instantaneous expansion explosion of high temperature-high pressure steam present in cracks and voids in the volcano and of gases dissolved in the magma that caused the bulge of the cryptodome	gaz	dissoudre	7	magma , roche en fusion contenant des gaz dissous
gas	dissolve	8	gases dissolved in the magma provide the driving force behind an eruption when volcanoes get violent , new scientist , 26 october 1996 , p 28	gaz	dissoudre	8	magma , liquide plus ou moins riche en gaz dissous résultant de la fusion partielle ou totale , en profondeur , du matériel solide constituant le manteau ou la croûte
gas	dissolve	9	back in the lab , garces and buckingham tweaked the parameters of the model slightly-adjusting the strength of the explosions , for instance , and the amount of gas dissolved in the magma	gaz	dissoudre	9	sous la pression de l eau , ces gaz se dissolvent dans les couches profondes du lac et acidifient le milieu
gas	dissolve	10	but as the molten rock rises , the pressure exerted by the weight of the rock above decreases , and gases dissolved in the magma begin to bubble out of solution	gaz	dissoudre	10	lorsque , par baisse de pression , le gaz dissous dans le liquide magmatique parvient à s individualiser sous forme de bulles , le contraste de densité avec l encaissant augmente brutalement , et l éruption se déclenche pour peu que le couvercle du réservoir magmatique cède
gas	dissolve			gaz	dissoudre	11	bien évidemment , les deux essais ont été précédés et accompagnés demesures quantitatives répétées faites à des profondeurs différentes et concernant les teneurs de l eau en gaz dissous , les débits d eau et de gaz dans les tuyaux , etc
gas	dissolve			gaz	dissoudre	12	or , la capacité de l eau à dissoudre du gaz carbonique augmente avec la pression
gas	dissolve			gaz	dissoudre	13	si le magma est visqueux et riche en gaz dissous , la lave s accumule au point de sortie et ne peut s épancher facilement
gas	dissolve			gaz	dissoudre	14	là où les plaques se séparent , dans les zones de rift , la fusion partielle se produit vers 15 km de profondeur et aboutit à un magma basaltique , relativement pauvre en gaz dissous
gas	dissolve			gaz	dissoudre	15	rappelons aussi que , à 1 bar , la densité du co2 est de 1,52 gramme celle de l eau douce étant de 1 gramme ; les eaux des fonds , étant chargées en gaz dissous , ont donc une densité plus élevée que celle de l eau pure
gas	dissolve			gaz	dissoudre	16	quelle que soit l hypothèse retenue , il a semblé que la méthode capable d éviter le renouvellement de telles catastrophes était de purger les fonds des lacs d une partie de leurs gaz dissous
gas	toxic	1	scientists believe the temperature and weight of the lava flowing into lake kivu could allow vast quantities of methane to escape from the bottom of the lake , covering both towns in toxic gas	gaz	toxique	1	une éruption moyenne dégage moins de gaz toxiques qu une centrale électrique brûlant du charbon
gas	toxic	2	these awesome features are heavier-than-air emulsions that move much like a snow avalanche , except that they are fiercely hot , contain toxic gases , and move at phenomenal , hurricane-force speeds , often over 100 km/hour	gaz	toxique	2	en 1984 , un jaillissement de gaz toxique près d un autre volcan , à quelque 200 km du mont cameroun , avait tué 37 paysans , retrouvés asphyxiés exactement comme les morts du lac nios
gas	toxic	3	but fires continued to burn there , the ground shook at regular intervals and experts said that while the volcano appeared to have spewed all its lava for now , toxic gas remained a danger	gaz	toxique	3	l accès au cratère de la fossa est interdit car les nappes toxiques de gaz carbonique , plus lourdes que l air , peuvent stagner au fond
gas	toxic	4	toxic gases seeping through the lava sting the eyes and clog the lungs	gaz	toxique	4	les gaz toxiques , la température insupportable , la pluie de cendres incandescentes et de sables ont fait de nombreuses victimes 3
gas	toxic	5	these dangerous eruptions are often associated with deadly pyroclastic flows composed of hot volcanic fragments and toxic gases that advance down slopes at hurricane-force speeds	gaz	toxique	5	tout le monde est d accord pour penser que le gaz toxique est venu du fond du lac
gas	toxic	6	visitors have to contend with toxic gases , noxious fumes , and showers of hot ash	gaz	toxique	6	certains sont toxiques gaz carbonique , dioxyde de soufre , etc.
gas	toxic	7	amid choking clouds of toxic gas and dust , it smashed down the forest valley , burst through the american s living room , badly burnt his young daughter - then inexplicably stopped dead in a corridor in the middle of the house	gaz	toxique	7	en 1986 , l éruption du lac volcanique de nyos au cameroun libéra une nuée de gaz toxiques et provoqua la mort de 1 700 personnes
gas	toxic	8	these avalanches of hot lava fragments and toxic gases have killed thousands of people throughout history	gaz	toxique	8	l autre explication , proposée par un ingénieur du cnrs , brille surtout pas son ingéniosité et par les perspectives optimistes qu elle ouvrirait quant à la possibilité de prévoir à temps une nouvelle exhalaison de gaz toxiques
gas	toxic	9	chemical reactions are responsible for two types of toxic gas mixtures that are a particular problem for residents and tourists on the the big island of hawaii	gaz	toxique	9	malgré le danger , les gaz toxiques , la pénibilité de sa tâche , il préfère la montagne , les bivouacs sous sa hutte de chaume où , pour lutter contre le froid , il doit dormir serré entre ses deux apprentis , dans la fumée âcre du foyer , qui chasse les insectes mais n effarouche pas les rats
gas	toxic			gaz	toxique	10	celui du second plan , vert , est acide et bouillonne en son centre ; la végétation a été détruite tout autour par les gaz toxiques
gas	toxic			gaz	toxique	11	à quero et macha , les habitants se protègent des cendres et des gaz toxiques à l aide de masques , de foulards ou de mouchoirs
gas	toxic			gaz	toxique	12	selon l une , une fraction au moins des gaz toxiques ne serait pas d origine volcanique
gas	toxic			gaz	toxique	13	aucune substance alimentaire ne préserve des effets foudroyants d un passage de gaz toxique
gas	toxic			gaz	toxique	14	en cas de reprise d activité , les microséismes engendrés par la montée du magma , peuvent fissurer les parois du lac et l amener à se vidanger ou libérer de grandes nappes meurtrières de gaz toxiques
gas	toxic			gaz	toxique	15	avant le jaillissement du fond du cratère du gaz toxique , cette boue s accumulait au fond du lac
gas	toxic			gaz	toxique	16	a la différence des lacs acides , au fond desquels des fumerolles libèrent toutes sortes de gaz toxiques , aucune source ne vient polluer ses eaux claires
gas	toxic			gaz	toxique	17	un quart de la population et trois quarts du bétail islandais ont succombé sous les torrents de lave 565 kilomètres carrés , les nuées ardentes , les pluies de cendres 8000 kilomètres carrés et les gaz toxiques
gas	toxic			gaz	toxique	18	tout autour , il ne reste que le spectre de la forêt vierge , empoisonnée par les gaz toxiques
gas	toxic			gaz	toxique	19	bravant fumerolles et gaz toxiques , des mineurs y ramassent le précieux pactole au péril de leur vie
gas	toxic			gaz	toxique	20	les gaz les gaz sont omniprésents lors de toutes les phases d activité volcaniqu : en majorité de la vapeur d eau peu dangereuse mais aussi des gaz toxiques tels le dioxyde de soufre , l hydrogène sulfuré ou encore le gaz carbonique
gas	toxic			gaz	toxique	21	or il se trouve que pour les spécialistes , apparition d une nappe de gaz toxique dans une région volcanique n a rien d insolite ni d énigmatique
gas	toxic			gaz	toxique	22	nous trouvons un emplacement judicieux pour nos deux petites tentes , sur une plateforme située à mi-hauteur de la paroi du cratère , où nous serons à la fois protégés du vent et au-dessus d éventuels nuages de gaz toxiques
gas	toxic			gaz	toxique	23	certains volcans de cet alignements présentent des risques importants car leur lac de cratère a libéré des gaz toxiques : 37 morts au lac monoun en 1984 et 1 746 morts au lac nyos en 1986
lava	pasty	1	runny lava flows in rivers of red-hot molten rock , but pasty lava creeps forward only about ten feet a day	lave	pâteux	1	la première est un dôme de lave très pâteuse qui pousse sur le flanc du volcan - le 8 juin , il avait déjà 30 mètres de haut et 100 mètres de diamètre
