basalt	joint	1	g is for the giant s causeway giant s causeway northern ireland s most spectacular tourist attraction is a prime example of columnar jointing of a basalt lava flow	basalte	commun	1	elle est dure , a une température de 0 à 1 500 °c et se compose essentiellement d une roche volcanique très commune : le basalte
cinder	hot			scorie	incandescent	2	il a donné son nom au type d activité volcanique dite strombolienne , s accompagnant d explosions avec projection de scories incandescentes
cinder	hot			scorie	incandescent	3	le dynamisme strombolien il s exprime par des explosions rythmiques qui projettent des blocs et des scories incandescents
cinder	hot	1	to understand why popocatepetl on tuesday started hurling 1.5-metre chunks of molten rock half a kilometre in the air and red hot cinders two km high , it s informative to examine why the mountain started smoking in the first place	scorie	rouge	1	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques
cinder	form	1	explosive eruptions caused by gas rapidly expanding and escaping from molten lava formed cinders that fell back around the vent , building up the cone to a height of 1,200 feet	scorie	former	1	ces événements ont été reconstitués grâce à des études géologiques , des prélèvements sous-marins , et l étude de la pouzzolane , formée de scories volcaniques , dont la couche , sur l île aujourd hui connue sous le nom de théra , ou encore santorini sainte irène , atteint par endroits une trentaine de mètres
cinder	form	2	tradewinds blew the tephra to the southwest , where it accumulated to form the cinder cones	scorie	former	2	c est un petit cône dont la paroi est abrupte , formé de scories soudées , se trouvant au-dessus du point d émission de la lave fluide pauvre en gaz fig
cinder	volcanic	1	by studying the extent of erosion and soil development on lathrop wells , the researchers compared this volcanic cinder cones with a similar cone in southeastern california , indirectly dated at about 15,000 to 20,000 years old	scorie	volcanique	1	par extension , ce terme désigne aujourd hui les scories volcaniques basaltique exploitées comme granulats
cinder	volcanic	2	both watch over the peninsula s largest city , petropavlovsk-kamchatsky , a fishing center whose 200,000 residents live in buildings made of a concrete rich in volcanic cinders	scorie	volcanique	2	ces événements ont été reconstitués grâce à des études géologiques , des prélèvements sous-marins , et l étude de la pouzzolane , formée de scories volcaniques , dont la couche , sur l île aujourd hui connue sous le nom de théra , ou encore santorini sainte irène , atteint par endroits une trentaine de mètres
cinder	volcanic	3	as we crunch along the floor of black volcanic cinders , scrambling over shiny cliffs of cold lava that become waterfalls in the rainy season , peter , 41 , is grinning with excitement	scorie	volcanique		
cinder	volcanic	4	in many eruptions , the froth is shattered explosively into small fragments that are hurled high into the air in the form of volcanic cinders red or black , volcanic ash commonly tan or gray , and volcanic dust	scorie	volcanique		
cone	littoral	1	pu u o mahana is the site of hawaii s famous green sand beach, composed of the shiny green mineral olivine a magnesium-iron-silicate eroded from the littoral cone and concentrated by wave action	cône	littoral	1	en ces lieux se produisit indubitablement une éruption dont les coulées se jetèrent dans la mer; et le contact entre l eau et la roche en fusion , très explosif , donna naissance aux deux cônes littoraux
cone	littoral	2	the littoral cones that develop from these explosive ejections are typically open on the seaward side	cône	littoral		
cone	littoral	3	the resulting steam explosions generated spatter , limu o pele , and pele s hair that accumulated on the sea cliff to make a littoral cone	cône	littoral		
cone	littoral	4	lava from the tube added new land , extending the coastline and isolating the littoral cone	cône	littoral		
cone	littoral	5	this photo shows a littoral cone that formed in october 1988	cône	littoral		
cone	littoral	6	right abov : pu u o mahana , a prehistoric littoral cone of mauna loa , is the site of the big island s green-sand beach	cône	littoral		
cone	littoral	7	littoral cones	cône	littoral		
cone	littoral	8	littoral cones can develop at the water s edge from the accumulation of these airborne fragments	cône	littoral		
cone	littoral	9	littoral cone	cône	littoral		
cone	littoral	10	basalt exiting from lava tubes can also generate littoral cones from episodic explosions due to disruption of the lava stream by incoming waves or swells	cône	littoral		
cone	littoral	11	larger deposits , however , are more permanent and form littoral cones , such as the 100-foot-high pu u o mahana , near the south tip of the big island , formed during a prehistoric mauna loa eruption	cône	littoral		
cone	littoral	12	the interaction of lava and water generated an acidic steam plume , black sand , and , with the proper conditions , littoral cones	cône	littoral		
cone	littoral	13	the exposed hot rocks and lava from the tube generated steam explosions that threw material back on the bench to produce a littoral cone	cône	littoral		
cone	littoral	14	a littoral cone is a cone formed on a lava flow when it runs into a body of water , usually the sea	cône	littoral		
cone	littoral	15	although littoral cones have a hydrovolcanic orgin , they are not true hydrovolcanic vents	cône	littoral		
cone	composite	1	large composite cones may generate a type of mudflow known as a lahar	cône	composite	1	elles ont contribué à édifier le cône , composite , formé à la fois de laves et de projections
cone	composite	2	nu\e9e ardente and lahar are phenomena associated wit : composite cones 10	cône	composite		
cone	composite	3	stratovolcanoes , also known as composite cones , are the most picturesque and the most deadly of the volcano types	cône	composite		
cone	composite	4	composite cones represent the most violent type of volcanic activity	cône	composite		
cone	composite	5	large composite cones often generate a mudflow called by its indonesian name lahar	cône	composite		
cone	composite	6	composite cones are produced when relatively viscous lavas of andesitic composition are extruded	cône	composite		
cone	composite	7	a large composite cone , washington state s mt	cône	composite		
cone	composite	8	most active composite cones are in a narrow zone that encircles the pacific ocean , appropriately named the ring of fire	cône	composite		
cone	composite	9	alternating layers of ash and lava build up a steep cone , known as a stratovolcano or composite cone	cône	composite		
cone	composite	10	a composite cone may extrude viscous lava for long periods	cône	composite		
cone	composite	11	just as shield volcanoes owe their shape to the highly fluid nature of the extruded lavas , so too do composite cones reflect the nature of the erupted material	cône	composite		
cone	composite	12	73 composite cone stratovolcano p	cône	composite		
cone	composite	13	earth s most picturesque volcanoes are composite cones	cône	composite		
cone	composite	14	composite cones , or stratovolcanoes , are large , nearly symmetrical structures built of interbedded lavas and pyroclastic deposits	cône	composite		
cone	composite	15	photo by tad nichols figure 4.13 mount shasta , california , one of the largest composite cones in the cascade range	cône	composite		
cone	composite	16	a composite cone or stratovolcano is a large , nearly symmetrical structure composed of alternating lava flows and pyroclastic deposits , emitted mainly from a central vent	cône	composite		
cone	composite	17	terns and characteristic form : shield volcanoes , cinder cones , and composite cones	cône	composite		
cone	composite	18	composite cones represent the most violent volcanic activity	cône	composite		
cone	composite	19	courtesy of p vauthey/sygma figure 4.27 locations of several of the larger composite cones that comprise the cascade range	cône	composite		
cone	symmetrical	1	helens a composite volcano or stratovolcano , a term for steepsided , often symmetrical cones constructed of alternating layers of lava flows , ash , and other volcanic debris	cône	symétrique	1	son cône symétrique se trouve dans un massif volcanique situé à l intérieur de la caldera du karymsky , effondrée il y a 77 000 ans
cone	symmetrical	2	they are typically steep-sided , symmetrical cones of large dimension built of alternating layers of lava flows , volcanic ash , cinders , blocks , and bombs and may rise as much as 8,000 feet above their bases	cône	symétrique		
cone	symmetrical	3	what we get up to is barely a science. so why bother tryin ? asks don rufino , standing in front of the 5,465-metre 17,930ft symmetrical cone. if the volcano decides it s time , we won t have time to do anything about it. he is more worried about soldiers enforcing the ban on going within six miles of the crater , which prevents villagers reaching their fields to harvest their maize	cône	symétrique		
cone	symmetrical	4	one of the most active volcanoes in cook inlet is augustine , whose symmetrical cone rises 1,254 meters above the sea	cône	symétrique		
crater	obstruct	1	the 1994 reawakening , the scientists say , was triggered by a new injection of molten rock into the magma chamber , and the current intensification of activity is due to the formation of a lava dome inside the crater which is obstructing the regular release of energy	cratère	engorger	1	un dôme de lave pâteuse et noire , qui croît quotidiennement , engorge le cratère du merapi
debris	coarse	1	coarse debris in the same eruptive plume rains into the sea and settles on the flanks of the cone	débris	gros	1	tout ceci explique que le pinatubo a obligé quelque trois cent mille personnes à fuir , qu une très vaste zone du pays a été couverte , parfois submergée , de cendres fines et de débris plus gros écrasant les maisons et autres constructions , paralysant toutes les activités et que le volcan a tué plusieurs centaines de personnes , dont une soixantaine écrasées par l effondrement du toit d une église dans laquelle plusieurs centaines de réfugiés avaient pensé trouver un abri
debris	coarse			débris	gros	2	transportés en altitude par la convection des gaz chauds , les plus gros débris retombent à proximité - à quelques kilomètres autour de l évent - alors que les plus petits continuent de s élever dans l atmosphère et sont charriés par le vent
debris	coarse			débris	gros	3	pendant ces deux jours , les très violentes explosions se succèdent , lançant à une quarantaine de kilomètres d altitude des cendres qui retombent à des centaines et même des milliers de kilomètres du pinatubo , notamment à singapour , et des débris plus gros des ponces qui arrosent les régions avoisinantes sur plusieurs dizaines de kilomètres
debris	smash	1	they pulled over and lined the roads all night. it sounded like a war, recalled a man whose car windshield was smashed by the debris	débris	détruire		
